Kanji,Onyomi,Kunyomi,Meaning
党,touトウ,"nakama, muraなかま、 むら","party, faction, clique"
協,kyouキョウ,,"co-, cooperation"
総,souソウ,"sube(te), fusaすべ(て)、 ふさ","general, whole, all"
区,kuク,,"ward, district"
領,ryouリョウ,eriえり,"jurisdiction, dominion"
県,kenケン,ka(keru)か(ける),prefecture
設,setsuセツ,mou(keru)もう(ける),"establishment, provision"
保,"ho, houホ、ホウ",tamo(tsu)たも(つ),"protect, guarantee, keep"
改,kaiカイ,arata(meru)あらた(める),"reformation, change, modify"
第,daiダイ,,"No., number"
結,ketsuケツ,"musu(bu), yu(u)むす(ぶ)、ゆ(う)","tie, bind, contract"
派,haハ,,"faction, group, party"
府,fuフ,,"borough, urban prefecture, govt office"
査,saサ,,investigate
委,iイ,yuda(neru)ゆだ(ねる),"committee, entrust to"
軍,gunグン,ikusaいくさ,"army, force, troops"
案,anアン,tsukueつくえ,"plan, suggestion, draft"
策,sakuサク,,"scheme, plan, policy"
団,"dan, tonダン、トン","katamari, maru(i)かたまり、 まる(い)","group, association"
各,kakuカク,onoonoおのおの,each; every; either
島,touトウ,shimaしま,island
革,kakuカク,kawaかわ,leather; skin; reform; become serious
村,sonソン,muraむら,village; town
勢,seiセイ,ikio(i)いきお(い),forces; energy; military strength
減,genゲン,he(ru)へ(る),dwindle; decrease; reduce
再,"sai, saサイ、 サ",futata(bi)ふたた(び),"again, twice, second time"
税,zeiゼイ,,tax; duty
営,eiエイ,itona(mu)いとな(む),occupation; camp; perform; build; conduct (business)
比,hiヒ,kura(beru)くら(べる),compare; race; ratio
防,bouボウ,fuse(gu)ふせ(ぐ),ward off; defend; protect; resist
補,hoホ,ogina(u)おぎな(う),supplement; supply; offset; compensate
境,kyouキョウ,sakaiさかい,"boundary, border, region"
導,douドウ,michibi(ku)みちび(く),guidance; leading; conduct; usher
副,fukuフク,,vice-; assistant; aide; duplicate; copy
算,sanサン,soroそろ,calculate; divining; number; probability
輸,"yu, shuユ、 シュ",,"transport, send, be inferior"
述,jutsuジュツ,no(beru)の(べる),mention; state; speak
線,senセン,sujiすじ,line; track
農,nouノウ,,agriculture; farmers
州,shuuシュウ,suす,state; province
武,"bu, muブ、 ム",take(shi)たけ(し),warrior; military; chivalry; arms
象,"shou, zouショウ、 ゾウ",katado(ru)かたど(る),elephant; pattern after; image; shape
域,ikiイキ,,range; region; limits; stage; level
額,gakuガク,hitaiひたい,forehead; tablet; framed picture; sum; amount; volume
欧,ouオウ,"uta(u), ha(ku)うた(う)、 は(く)",Europe
担,tanタン,"katsu(gu), nina(u)かつ(ぐ)、 にな(う)",shouldering; carry; raise; bear
準,junジュン,"jun(jiru), nazora(eru)じゅん(じる)、 なぞら(える)",semi-; correspond to; imitate
賞,shouショウ,ho(meru)ほ(める),prize; reward; praise
辺,henヘン,"ata(ri), hoto(ri)あた(り)、 ほと(り)",environs; boundary; border; vicinity
造,zouゾウ,tsuku(ru)つく(る),create; make; structure; physique
被,hiヒ,"koumu(ru), kabu(ru)こうむ(る)、  かぶ(る)",incur; cover; shelter; wear; put on
技,giギ,wazaわざ,skill; art; craft; ability; vocation; arts
低,teiテイ,hiku(i)ひく(い),lower; short; humble
復,fukuフク,mataまた,"restore, return to, revert"
移,iイ,utsu(ru)うつ(る),"shift, move, change"
個,koコ,,individual; counter for articles
門,monモン,"kado, toかど、 と",gate
課,kaカ,,"chapter, lesson, section, department"
脳,nouノウ,nouzuruのうずる,brain; memory
極,"kyoku, gokuキョク、 ゴク",kiwa(meru)きわ(める),poles; settlement; conclusion; end
含,ganガン,fuku(mu)ふく(む),contain; include
蔵,zouゾウ,kuraくら,storehouse; hide; own; have; possess
量,ryouリョウ,haka(ru)はか(る),quantity; measure; weight; amount
型,keiケイ,kataかた,type; model
況,kyouキョウ,mashi(te)まし(て),condition; situation
針,shinシン,hariはり,needle; pin; staple; stinger
専,senセン,moppa(ra)もっぱ(ら),specialty; exclusive; mainly; solely
谷,kokuコク,"tani, kiwa(maru)たに、 きわ(まる)",valley
史,shiシ,,history; chronicle
階,kaiカイ,kizahashiきざはし,stair; counter for building story
管,kanカン,kudaくだ,pipe; tube; wind instrument; control; jurisdiction
兵,"hei, hyouヘイ、 ヒョウ",tsuwamonoつわもの,soldier; private; troops; army
接,setsuセツ,tsu(gu)つ(ぐ),touch; contact; adjoin; piece together
細,saiサイ,"hoso(i), koma(kai)ほそ(い)、 こま(かい)",slender; narrow; detailed; precise
効,kouコウ,ki(ku)き(く),merit; efficacy; efficiency; benefit
丸,ganガン,"maru, maru(i)まる、まる(い)",round; full (month); perfection
湾,wanワン,irieいりえ,gulf; bay; inlet
録,rokuロク,to(ru)と(る),record
省,"sei, shouセイ、 ショウ","kaeri(miru), habu(ku)かえり(みる)、 はぶ(く)",focus; government ministry; conserve
旧,kyuuキュウ,"furu(i), motoふる(い)、 もと",old times; old things; former; ex-
橋,kyouキョウ,hashiはし,bridge
岸,ganガン,kishiきし,beach
周,shuuシュウ,mawa(ri)まわ(り),circumference; circuit; lap
材,zaiザイ,,"lumber, log, timber, wood"
戸,koコ,toと,door; counter for houses
央,ouオウ,,center; middle
券,kenケン,,ticket
編,henヘン,a(mu)あ(む),compilation; knit; braid; twist; editing
捜,souソウ,saga(su)さが(す),search; look for; locate
竹,chikuチク,takeたけ,bamboo
超,chouチョウ,ko(eru)こ(える),transcend; super-; ultra-
並,heiヘイ,"na(mi), nami, nara(beru)な(み)、なみ、なら(べる)","row, and, besides"
療,ryouリョウ,,heal; cure
採,saiサイ,to(ru)と(る),pick; take; fetch; take up
森,shinシン,moriもり,"forest, woods"
競,"kyou, keiキョウ、 ケイ","kiso(u), se(ru)きそ(う)、 せ(る)",compete with; bid; contest; race
介,kaiカイ,,jammed in; shellfish; mediate
根,konコン,neね,root; radical
販,hanハン,,"marketing, sell, trade"
歴,rekiレキ,,curriculum; continuation; passage of time
将,shouショウ,"masa(ni), hataまさ(に)、 はた",leader; commander; general; admiral
幅,fukuフク,habaはば,hanging scroll; width
般,hanハン,,carrier; carry; all; general; sort; kind
貿,bouボウ,,trade; exchange
講,kouコウ,,lecture; club; association
林,rinリン,hayashiはやし,grove; forest
装,"sou, shouソウ、 ショウ",yosoo(u)よそお(う),attire; dress; pretend; disguise
諸,shoショ,moroもろ,various; many; several; together
劇,gekiゲキ,,drama; play
河,kaカ,kawaかわ,river
航,kouコウ,,navigate; sail; cruise; fly
鉄,tetsuテツ,kuroganeくろがね,iron
児,jiジ,koこ,newborn babe; child
禁,kinキン,,prohibition; ban; forbid
印,inイン,shirushiしるし,stamp; seal; mark; symbol; trademark
逆,gyakuギャク,saka(rau)さか(らう),inverted; reverse; opposite
換,kanカン,ka(eru)か(える),interchange; period; change; convert; replace; renew
久,"kyuu, kuキュウ、 ク",hisa(shii)ひさ(しい),long time; old story
短,tanタン,mijika(i)みじか(い),short; fault; defect; weak point
油,yuユ,aburaあぶら,oil; fat
暴,"bou, bakuボウ、 バク",aba(ku)あば(く),outburst; force; violence
輪,rinリン,waわ,wheel; ring; circle; link; loop; counter for wheels and flowers
占,senセン,"shi(meru), urana(u)し(める)、 うらな(う)",fortune-telling; divining; forecasting
植,shokuショク,u(eru)う(える),plant
清,seiセイ,kiyo(i)きよ(い),pure; purify; cleanse
倍,baiバイ,,double; twice; times; fold
均,kinキン,nara(su)なら(す),level; average
億,okuオク,,hundred million; 10**8
圧,atsuアツ,o(su)お(す),pressure; push; overwhelm; oppress
芸,geiゲイ,"u(eru), nori, wazaう(える)、 のり、 わざ",technique; art; craft; performance; acting
署,shoショ,,signature; govt office; police station
伸,shinシン,no(biru)の(びる),expand; stretch; extend
停,teiテイ,to(meru)と(める),halt; stopping
爆,bakuバク,ha(zeru)は(ぜる),bomb; burst open
陸,"riku, rokuリク、 ロク",okaおか,land; six
玉,gyokuギョク,tamaたま,jewel; ball
波,haハ,namiなみ,waves; billows
帯,taiタイ,o(biru)お(びる),sash; belt; obi; zone; region
延,enエン,no(biru)の(びる),prolong; stretching
羽,uウ,"ha, wa, haneは、 わ、 はね","feathers; counter for birds, rabbits"
固,koコ,kata(meru)かた(める),harden; set; clot; curdle
則,sokuソク,notto(ru)のっと(る),rule; follow; based on
乱,ranラン,mida(reru)みだ(れる),riot; war; disorder; disturb
普,fuフ,amane(ku)あまね(く),universal; generally
測,sokuソク,haka(ru)はか(る),fathom; plan; scheme; measure
豊,"hou, buホウ、 ブ","yuta(ka), toyoゆた(か)、 とよ",bountiful; excellent; rich
厚,kouコウ,atsu(i)あつ(い),thick; heavy; rich
齢,reiレイ,"yowai, toshiよわい、 とし",age
囲,iイ,kako(mu)かこ(む),surround; enclosure; preserve; keep
卒,sotsuソツ,so(ssuru)そっ(する),graduate; soldier; private; die
略,ryakuリャク,hoboほぼ,abbreviation; omission; outline; shorten
承,shouショウ,uketamawa(ru)うけたまわ(る),hear; listen to; be informed; receive
順,junジュン,,obey; order; turn; occasion
岩,ganガン,iwaいわ,boulder; rock; cliff
練,renレン,ne(ru)ね(る),"practice, gloss, train, drill, polish, refine"
軽,keiケイ,karu(i)かる(い),lightly; trifling; unimportant
了,ryouリョウ,,complete; finish
庁,chouチョウ,yakushoやくしょ,government office
城,"jou, seiジョウ、 セイ",shiroしろ,castle
患,kanカン,wazura(u)わずら(う),afflicted; disease; suffer from; be ill
層,souソウ,,stratum; social class; layer; story; floor
版,hanハン,,printing block; edition; impression; label
令,reiレイ,,orders; command; decree
角,kakuカク,"kado, tsunoかど、 つの",angle; corner; square
絡,rakuラク,kara(mu)から(む),entwine; coil around; get caught in
損,sonソン,soko(nau)そこ(なう),damage; loss; disadvantage; hurt; injure
募,boボ,tsuno(ru)つの(る),recruit; campaign
裏,riリ,uraうら,back; reverse; inside; rear
仏,butsuブツ,hotokeほとけ,"Buddha, the dead, France"
績,sekiセキ,,exploits; achievements
築,chikuチク,kizu(ku)きず(く),fabricate; build; construct
貨,kaカ,takaraたから,freight; goods; property
混,konコン,ma(jiru)ま(じる),mix; blend; confuse
昇,shouショウ,nobo(ru)のぼ(る),rise up
池,chiチ,ikeいけ,pond; pool; reservoir
血,ketsuケツ,chiち,blood
温,onオン,"atata(kai), nukuあたた(かい)、ぬく",warm
季,kiキ,,seasons
星,seiセイ,hoshiほし,star
永,eiエイ,naga(i)なが(い),eternity; long; lengthy
著,"cho, chakuチョ、 チャク","arawa(su), ichijiru(shii)あらわ(す)、 いちじる(しい)",renowned; publish; write
誌,shiシ,,document; records
庫,"ko, kuコ、 ク",kuraくら,warehouse; storehouse
刊,kanカン,,publish; carve; engrave
像,zouゾウ,,statue; picture; image; figure
香,"kou, kyouコウ、 キョウ",kao(ri)かお(り),incense; smell; perfume
坂,hanハン,sakaさか,slope; incline; hill
底,teiテイ,sokoそこ,bottom; sole; depth; bottom price
布,fuフ,"nuno, shi(ku)ぬの、 し(く)",linen; cloth; spread; distribute
寺,jiジ,teraてら,Buddhist temple
宇,uウ,,eaves; roof; house; heaven
巨,kyoキョ,,gigantic; big; large; great
震,shinシン,furu(u)ふる(う),quake; shake; tremble; quiver
希,kiキ,"mare, koinega(u)まれ、 こいねが(う)",hope; beg; request; pray
触,shokuショク,"fu(reru), sawa(ru)ふ(れる)、 さわ(る)",contact; touch; feel; hit; proclaim; announce
依,"i, eイ、 エ",yo(ru)よ(る),reliant; depend on; consequently; therefore; due to
籍,sekiセキ,,enroll; register; membership
汚,oオ,"yogo(su), kitana(i), kega(su)よご(す)、 きたな(い)、 けが(す)",dirty; pollute; disgrace; defile
枚,"mai, baiマイ、 バイ",,sheet of...; counter for flat thin objects
複,fukuフク,,duplicate; double; compound; multiple
郵,yuuユウ,,mail; stagecoach stop
仲,chuuチュウ,nakaなか,go-between; relationship
栄,eiエイ,saka(eru)さか(える),flourish; prosperity; honor
札,satsuサツ,fudaふだ,ticket; paper money; banknote; note
板,"han, banハン、 バン",itaいた,plank; board; plate; stage
骨,kotsuコツ,honeほね,skeleton; bone; remains; frame
傾,keiケイ,katamu(ku)かたむ(く),lean; incline; tilt; trend; bias
届,kaiカイ,todo(keru)とど(ける),deliver; reach; arrive; report
巻,kanカン,"ma(ku), makiま(く)、 まき",scroll; volume; book; part; roll up; wind up; coil; counter for texts (or book scrolls)
燃,nenネン,mo(eru)も(える),burn; blaze; glow
跡,sekiセキ,atoあと,tracks; mark; print; impression
包,houホウ,"tsutsu(mu), kuru(mu)つつ(む)、 くる(む)",wrap; pack up; cover; conceal
駐,chuuチュウ,,stop-over; reside in; resident
弱,jakuジャク,yowa(i)よわ(い),weak; frail
紹,shouショウ,,introduce; inherit; help
雇,koコ,yato(u)やと(う),employ; hire
替,taiタイ,ka(waru)か(わる),"exchange, spare, substitute"
預,yoヨ,azu(keru)あず(ける),deposit; custody; leave with; entrust to
焼,shouショウ,ya(ku)や(く),bake; burning
簡,kanカン,"fuda, era(bu)ふだ、 えら(ぶ)",simplicity; brevity
章,shouショウ,,badge; chapter; composition; poem
臓,zouゾウ,harawataはらわた,entrails; viscera; bowels
律,"ritsu, richiリツ、 リチ",,rhythm; law; regulation; control
贈,zouゾウ,oku(ru)おく(る),presents; send; give to; award to
照,shouショウ,te(ru)て(る),illuminate; shine; compare
薄,hakuハク,usu(i)うす(い),dilute; thin; weak (tea)
群,gunグン,"mu(reru), mura(garu)む(れる)、 むら(がる)",flock; group; crowd; herd
秒,byouビョウ,,second
奥,ouオウ,okuおく,heart; interior
詰,kitsuキツ,tsu(meru)つ(める),packed; close; rebuke; blame
双,souソウ,futaふた,pair; set; comparison; counter for pairs
刺,shiシ,"sa(su), togeさ(す)、 さし、 とげ","thorn, pierce, stab, prick, sting"
純,junジュン,,genuine; purity; innocence
翌,yokuヨク,,the following; next
快,kaiカイ,kokoroyo(i)こころよ(い),cheerful; pleasant; agreeable; comfortable
片,henヘン,kataかた,one-sided; piece
敬,keiケイ,uyama(u)うやま(う),awe; respect; honor; revere
悩,nouノウ,naya(mu)なや(む),trouble; worry; in pain; distress; illness
泉,senセン,izumiいずみ,spring; fountain
皮,hiヒ,kawaかわ,skin; hide; leather
漁,"gyo, ryouギョ、 リョウ",asa(ru)あさ(る),fishing; fishery
荒,kouコウ,"ara(i), a(reru)あら(い)、あ(れる)",rough; wild
貯,choチョ,ta(meru)た(める),savings; store
硬,kouコウ,kata(i)かた(い),stiff; hard
埋,maiマイ,u(meru)う(める),bury; be filled up; embedded
柱,chuuチュウ,hashiraはしら,pillar; post; cylinder; support
祭,saiサイ,matsuriまつり,ritual; offer prayers; celebrate
袋,taiタイ,fukuroふくろ,sack; bag; pouch
筆,hitsuヒツ,fudeふで,writing brush; writing; painting brush; handwriting
訓,kunクン,"yo(mu), kun(zuru)よ(む)、くん(ずる)","instruction, explanation, read"
浴,yokuヨク,a(biru)あ(びる),bathe; be favored with; bask in
童,douドウ,warabeわらべ,juvenile; child
宝,houホウ,takaraたから,treasure; wealth; valuables
封,"fuu, houフウ、 ホウ",,seal; closing
胸,kyouキョウ,muneむね,bosom; breast; chest; heart; feelings
砂,"sa, shaサ、 シャ",sunaすな,sand
塩,enエン,shioしお,salt
賢,kenケン,kashiko(i)かしこ(い),intelligent; wise; wisdom; cleverness
腕,wanワン,udeうで,arm; ability; talent
兆,chouチョウ,kiza(su)きざ(す),trillion; sign; omen; symptoms
床,shouショウ,"toko, yukaとこ、 ゆか",bed; counter for beds; floor; padding; tatami
毛,mouモウ,keけ,fur; hair; feather
緑,"ryoku, rokuリョク、 ロク",midoriみどり,green
尊,sonソン,touto(i)とうと(い),revered; valuable; precious; noble
祝,shukuシュク,iwa(u)いわ(う),celebrate; congratulate
柔,"juu, nyuuジュウ、 ニュウ",yawa(rakai)やわ(らかい),tender; weakness; gentleness; softness
殿,denデン,"tono, donoとの、 どの",Mr.; hall; mansion; palace; temple; lord
濃,nouノウ,ko(i)こ(い),concentrated; thick; dark; undiluted
液,ekiエキ,,fluid; liquid; juice; sap; secretion
衣,"i, eイ、 エ","koromo, kinuころも、 きぬ",garment; clothes; dressing
肩,kenケン,kataかた,shoulder
零,reiレイ,zeroぜろ,zero; spill; overflow; nothing
幼,youヨウ,osana(i)おさな(い),infancy; childhood
荷,kaカ,niに,baggage; load; cargo; freight
泊,hakuハク,to(maru)と(まる),overnight stay
黄,"kou, ouコウ、 オウ",kiき,yellow
甘,kanカン,ama(i)あま(い),sweet; coax; pamper; sugary
臣,"shin, jinシン、 ジン",,retainer; subject
浅,senセン,asa(i)あさ(い),shallow; superficial; frivolous
掃,souソウ,ha(ku)は(く),sweep; brush
雲,unウン,kumoくも,cloud
掘,kutsuクツ,ho(ru)ほ(る),dig; delve; excavate
捨,shaシャ,su(teru)す(てる),discard; throw away; abandon
軟,nanナン,yawa(rakai)やわ(らかい),soft
沈,"chin, jinチン、 ジン",shizu(mu)しず(む),sink; be submerged; subside; be depressed
凍,touトウ,"koo(ru), kogo(eru)こお(る)、 こご(える)",frozen; refrigerate
乳,nyuuニュウ,"chichi, chiちち、ち","milk, breasts"
恋,renレン,koi(shii)こい(しい),romance; in love; yearn for; miss
紅,"kou, kuコウ、 ク","beni, kurenaiべに、 くれない",crimson; deep red
郊,kouコウ,,"outskirts, suburbs, rural area"
腰,youヨウ,koshiこし,loins; hips; waist
炭,tanタン,sumiすみ,charcoal; coal
踊,youヨウ,odo(ru)おど(る),jump; dance; leap; skip
冊,satsuサツ,fumiふみ,counter for books; volume
勇,yuuユウ,isa(mu)いさ(む),courage; cheer up; bravery; heroism
械,kaiカイ,kaseかせ,contraption; machine; instrument
菜,saiサイ,naな,vegetable; side dish; greens
珍,chinチン,mezura(shii)めずら(しい),rare; curious; strange
卵,ranラン,tamagoたまご,egg
湖,koコ,mizuumiみずうみ,lake
喫,kitsuキツ,no(mu)の(む),"consume, eat, drink, smoke, receive"
干,kanカン,"ho(su), hi(ru)ほ(す)、 ひ(る)",dry; parch
虫,"chuu, kiチュウ、 キ",mushiむし,insect; bug
刷,satsuサツ,"su(ru), ha(ku)す(る)、 は(く)",printing; print; brush
湯,touトウ,yuゆ,hot water; bath; hot spring
溶,youヨウ,to(keru)と(ける),melt; dissolve; thaw
鉱,kouコウ,araganeあらがね,mineral; ore
涙,ruiルイ,namidaなみだ,tears; sympathy
匹,hitsuヒツ,hikiひき,counter for small animals
孫,sonソン,magoまご,grandchild; descendants
鋭,eiエイ,surudo(i)するど(い),pointed; sharpness; edge; weapon; sharp; violent
枝,shiシ,edaえだ,bough; branch; twig; limb; counter for branches
塗,toト,"nu(ru), nu(ri) ぬ(る)、 ぬ(り)",paint; smear; coating
軒,kenケン,nokiのき,flats; counter for houses
毒,dokuドク,,poison; germ; harm
叫,kyouキョウ,sake(bu)さけ(ぶ),shout; exclaim; yell
拝,haiハイ,oga(mu)おが(む),worship; adore; pray to
氷,hyouヒョウ,"koori, hiこおり、 ひ",ice; hail; freeze
乾,kanカン,kawa(ku)かわ(く),drought; dry; drink up; heaven
棒,bouボウ,,rod; stick; cane; pole
祈,kiキ,ino(ru)いの(る),pray; wish
拾,shuuシュウ,hiro(u)ひろ(う),pick up; gather; find
粉,funフン,"ko, konaこ、 こな",flour; powder; dust
糸,shiシ,itoいと,thread
綿,menメン,wataわた,cotton
汗,kanカン,aseあせ,sweat; perspire
銅,douドウ,akaganeあかがね,copper
湿,shitsuシツ,shime(ru)しめ(る),damp; wet; moist
瓶,binビン,"kame, heiかめ、 へい",bottle; jar; jug; urn
咲,shouショウ,sa(ku)さ(く),blossom; bloom
召,shouショウ,me(su)め(す),"call; send for; wear; buy, to eat, to drink"
缶,kanカン,kamaかま,tin can; container
隻,sekiセキ,,vessels; counter for ships; fish; one of a pair
脂,shiシ,aburaあぶら,fat; grease; lard
蒸,"jou, seiジョウ、 セイ",mu(su)む(す),steam; heat; foment
肌,kiキ,hadaはだ,texture; skin; body; grain
耕,kouコウ,tagaya(su)たがや(す),till; plow; cultivate
鈍,donドン,"nibu(i), namaku(ra)にぶ(い)、 なまく(ら)",dull; slow; foolish; blunt
泥,deiデイ,doroどろ,mud; adhere to; be attached to
隅,guuグウ,sumiすみ,corner; nook
灯,touトウ,"hi, tomo(su)ひ、とも(す)",lamp; a light; counter for lights
辛,shinシン,"kara(i), tsura(i)から(い)、 つら(い)",spicy; hot
磨,maマ,miga(ku)みが(く),grind; polish; improve; brush (teeth)
麦,bakuバク,mugiむぎ,barley; wheat
姓,"sei, shouセイ、 ショウ",,surname
筒,touトウ,tsutsuつつ,cylinder; pipe; tube
鼻,biビ,hanaはな,nose; snout
粒,ryuuリュウ,tsubuつぶ,grains; drop; counter for tiny particles
詞,shiシ,kotobaことば,part of speech; words
胃,iイ,,stomach; crop
畳,"jou, chouジョウ、 チョウ",tatamiたたみ,tatami mat; fold
机,kiキ,tsukueつくえ,desk; table
膚,fuフ,hadaはだ,skin; body; texture
濯,takuタク,susu(gu)すす(ぐ),laundry; wash; rinse
塔,touトウ,,pagoda; tower; steeple
沸,futsuフツ,wa(ku)わ(く),seethe; boil; ferment
灰,kaiカイ,haiはい,ashes; cremate
菓,kaカ,,candy; cakes; fruit
帽,bouボウ,ずきん、 おお(う),cap; headgear
枯,koコ,ka(reru)か(れる),wither; die; dry up; be seasoned
涼,ryouリョウ,suzu(shii)すず(しい),refreshing; nice and cool
舟,shuuシュウ,funeふね,boat; ship
貝,baiバイ,kaiかい,shellfish
符,fuフ,,token; sign; mark
憎,zouゾウ,niku(mu)にく(む),hate; detest
皿,beiベイ,"sara, zaraさら、 ざら",dish; a helping; plate
肯,kouコウ,gaenji(ru)がえんじ(る),agreement; consent; comply with
燥,souソウ,hasha(gu)はしゃ(ぐ),parch; dry up
畜,chikuチク,,livestock; domestic fowl and animals
坊,"bou, boボウ、 ボッ",,"boy, priest"
挟,kyouキョウ,hasa(mu)はさ(む),pinch; between
曇,donドン,kumo(ru)くも(る),cloudy weather
滴,tekiテキ,"shizuku, shitata(ru)しずく、 したた(る)",drip; drop
伺,shiシ,ukaga(u)うかが(う),visit; ask; inquire; question
